statefips,cd118,state_enroll,state_avg_savings,cd_enroll,cd_avg_savings,cd_avg_ptcs,cd_avg_prems,cd_perc_increase
02,00,23000,153,23000,153,864,122,1.254098361
01,01,375000,51,71000,51,638,53,0.962264151
01,02,375000,51,48000,52,677,49,1.06122449
01,03,375000,51,57000,49,642,56,0.875
01,04,375000,51,53000,51,667,58,0.879310345
01,05,375000,51,50000,55,674,60,0.916666667
01,06,375000,51,45000,57,637,71,0.802816901
01,07,375000,51,53000,43,647,38,1.131578947
05,01,145000,69,36000,67,493,77,0.87012987
05,02,145000,69,37000,68,463,81,0.839506173
05,03,145000,69,36000,72,453,92,0.782608696
05,04,145000,69,36000,69,497,78,0.884615385
04,01,308000,65,34000,67,390,107,0.626168224
04,02,308000,65,35000,89,654,82,1.085365854
04,03,308000,65,39000,50,408,33,1.515151515
04,04,308000,65,33000,59,389,69,0.855072464
04,05,308000,65,32000,62,371,94,0.659574468
04,06,308000,65,30000,63,421,91,0.692307692
04,07,308000,65,34000,55,462,49,1.12244898
04,08,308000,65,34000,61,399,80,0.7625
04,09,308000,65,37000,74,559,82,0.902439024
10,00,40000,101,40000,101,585,147,0.68707483
12,01,4089000,44,82000,50,576,65,0.769230769
12,02,4089000,44,95000,46,546,62,0.741935484
12,03,4089000,44,95000,47,621,53,0.886792453
12,04,4089000,44,115000,44,521,44,1
12,05,4089000,44,97000,48,487,74,0.648648649
12,06,4089000,44,104000,51,597,61,0.836065574
12,07,4089000,44,109000,51,577,63,0.80952381
12,08,4089000,44,90000,57,553,75,0.76
12,09,4089000,44,271000,36,541,31,1.161290323
12,10,4089000,44,189000,36,548,33,1.090909091
12,11,4089000,44,131000,48,556,53,0.905660377
12,12,4089000,44,93000,53,599,60,0.883333333
12,13,4089000,44,89000,54,567,80,0.675
12,14,4089000,44,143000,41,540,42,0.976190476
12,15,4089000,44,109000,43,544,46,0.934782609
12,16,4089000,44,91000,51,534,67,0.76119403
12,17,4089000,44,105000,57,578,80,0.7125
12,18,4089000,44,112000,45,636,43,1.046511628
12,19,4089000,44,115000,57,631,67,0.850746269
12,20,4089000,44,203000,37,556,32,1.15625
12,21,4089000,44,110000,55,573,72,0.763888889
12,22,4089000,44,152000,45,572,52,0.865384615
12,23,4089000,44,164000,44,543,58,0.75862069
12,24,4089000,44,252000,35,565,38,0.921052632
12,25,4089000,44,203000,41,537,43,0.953488372
12,26,4089000,44,296000,38,590,34,1.117647059
12,27,4089000,44,231000,37,583,42,0.880952381
12,28,4089000,44,241000,43,619,36,1.194444444
13,01,1245000,44,77000,42,491,52,0.807692308
13,02,1245000,44,92000,39,512,22,1.772727273
13,03,1245000,44,74000,47,585,51,0.921568627
13,04,1245000,44,105000,41,550,48,0.854166667
13,05,1245000,44,94000,42,530,59,0.711864407
13,06,1245000,44,70000,59,529,98,0.602040816
13,07,1245000,44,147000,39,538,52,0.75
13,08,1245000,44,80000,39,479,26,1.5
13,09,1245000,44,95000,47,505,59,0.796610169
13,10,1245000,44,74000,49,560,64,0.765625
13,11,1245000,44,78000,51,530,78,0.653846154
13,12,1245000,44,78000,42,542,37,1.135135135
